DESCRIPTION	DESCRIPTION_SHORT	DIX|NN|N	DIX|NN|MED	DIX|NN|MAD	DIX|NE|N	DIX|NE|MED	DIX|NE|MAD	DIX|EN|N	DIX|EN|MED	DIX|EN|MAD	DIX|EE|N	DIX|EE|MED	DIX|EE|MAD	DI|NN|N	DI|NN|MED	DI|NN|MAD	DI|NE|N	DI|NE|MED	DI|NE|MAD	DI|EN|N	DI|EN|MED	DI|EN|MAD	DI|EE|N	DI|EE|MED	DI|EE|MAD	UIR|NN|N	UIR|NN|MED	UIR|NN|MAD	UIR|NE|N	UIR|NE|MED	UIR|NE|MAD	UIR|EN|N	UIR|EN|MED	UIR|EN|MAD	UIR|EE|N	UIR|EE|MED	UIR|EE|MAD	UI|NN|N	UI|NN|MED	UI|NN|MAD	UI|NE|N	UI|NE|MED	UI|NE|MAD	UI|EN|N	UI|EN|MED	UI|EN|MAD	UI|EE|N	UI|EE|MED	UI|EE|MAD	ALL|NN|N	ALL|NN|MED	ALL|NN|MAD	ALL|NE|N	ALL|NE|MED	ALL|NE|MAD	ALL|EN|N	ALL|EN|MED	ALL|EN|MAD	ALL|EE|N	ALL|EE|MED	ALL|EE|MAD	CHROMS
JAV_MK_CHC_RALT_20000_ht|RP_NUM|CHR_ALL	MK	16586	27	9	524575	55	27	530559	55	27	51507	81	41	169804	7	1	1505131	12	5	1503635	12	5	101365	14	7	169804	7	1	1508647	12	5	1500119	12	5	101365	14	7	359156	7	1	443098	7	1	441687	7	1	73872	7	1	715350	7	1	3981451	12	5	3976000	12	5	328109	13	7	['chr3','chr1','chr11','chr4','chr12','chr6','chr5','chr2','chrX','chr21','chr10','chr14','chr9','chr13','chr8','chr22','chr19','chr16','chr18','chr7','chr17','chr20','chr15','chrY']
JAV_ERY_CHC_RALT_20000_ht|RP_NUM|CHR_ALL	ERY	12213	30	9	509085	50	24	516144	51	25	54888	75	37	190202	7	1	1485558	12	5	1487775	12	5	101065	14	7	190202	7	1	1488432	12	5	1484901	12	5	101065	14	7	495468	7	1	374094	7	1	372861	7	1	63112	7	1	888085	7	1	3857169	12	5	3861681	12	5	320130	14	7	['chr21','chr6','chr20','chr1','chr7','chr2','chr17','chr18','chr8','chr3','chr14','chr5','chr4','chr10','chrX','chr11','chr13','chr12','chr16','chr9','chr15','chr19','chr22']
JAV_NEU_CHC_RALT_20000_ht|RP_NUM|CHR_ALL	NEU	11146	16	5	247301	47	20	249459	47	20	34471	67	30	22209	7	1	1258992	11	4	1260426	11	4	120187	12	6	22209	7	1	1257990	11	4	1261428	11	4	120187	12	6	11652	6	0	716231	7	1	716965	8	1	151636	8	1	67216	7	1	3480514	10	4	3488278	10	4	426481	10	4	['chr14','chr1','chr12','chr6','chr19','chr10','chr16','chr20','chr3','chr9','chr4','chr2','chr8','chr11','chr22','chr15','chr5','chr13','chrX','chr18','chr7','chr17','chr21','chrY']
JAV_MON_CHC_RALT_20000_ht|RP_NUM|CHR_ALL	MON	11792	19	6	277491	49	22	283164	50	23	38603	70	33	38092	7	1	1142553	12	5	1142541	12	5	102048	13	6	38092	7	1	1143386	12	5	1141708	12	5	102048	13	6	48356	7	1	488995	8	1	486038	8	1	98590	8	1	136332	7	1	3052425	11	5	3053451	11	5	341289	11	5	['chr5','chr13','chr12','chr15','chr2','chr17','chr1','chr11','chr6','chr7','chr3','chr16','chr8','chr4','chr22','chr10','chr20','chr19','chr21','chr9','chr18','chr14','chrX','chrY']
JAV_MAC_M0_CHC_RALT_20000_ht|RP_NUM|CHR_ALL	MAC_M0	14701	33	11	556116	61	32	561099	62	33	54999	91	49	215641	7	1	1493382	12	5	1491985	12	5	99511	15	8	215641	7	1	1501032	12	5	1484335	12	5	99511	15	8	611660	7	1	583737	8	1	574708	8	1	90152	8	1	1057643	7	1	4134267	12	6	4112127	12	6	344173	13	7	['chr2','chr3','chr6','chr9','chr12','chr10','chr7','chrX','chr4','chr1','chr11','chr18','chr5','chr16','chr8','chr14','chr19','chr15','chr20','chr13','chr22','chr17','chr21','chrY']
JAV_MAC_M1_CHC_RALT_20000_ht|RP_NUM|CHR_ALL	MAC_M1	17234	27	8	467619	56	28	471982	56	28	40823	81	41	273917	7	1	1196720	13	6	1196345	13	6	72116	16	8	273917	7	1	1203222	13	6	1189843	13	6	72116	16	8	633831	7	1	421688	8	1	414350	8	1	56927	8	1	1198899	7	1	3289249	13	6	3272520	13	6	241982	14	7	['chr15','chr6','chr10','chr7','chr22','chr12','chr11','chr19','chr14','chr20','chr5','chr3','chr21','chrX','chr4','chr2','chr17','chr18','chr8','chr9','chr1','chr16','chr13','chrY']
JAV_MAC_M2_CHC_RALT_20000_ht|RP_NUM|CHR_ALL	MAC_M2	15442	27	8	503741	54	27	508598	55	28	44494	76	38	266293	7	1	1290522	12	5	1294533	12	5	75541	15	7	266293	7	1	1298426	12	5	1286629	12	5	75541	15	7	542776	7	1	326402	7	1	323353	7	1	46020	8	2	1090804	7	1	3419091	13	6	3413113	13	6	241596	15	8	['chr3','chr17','chr18','chr9','chr8','chr6','chr7','chr14','chr1','chr20','chr4','chr11','chrX','chr19','chr13','chr22','chr2','chr5','chr12','chr10','chr15','chr16','chr21','chrY']
JAV_EP_CHC_RALT_20000_ht|RP_NUM|CHR_ALL	EP	13297	27	8	394252	55	27	398614	56	28	33449	78	37	161406	7	1	1150290	13	6	1150713	13	6	62211	17	9	161406	7	1	1157980	13	6	1143023	13	6	62211	17	9	474358	7	1	377910	8	1	373682	8	1	43722	8	1	810467	7	1	3080432	13	6	3066032	13	6	201593	16	9	['chr11','chr18','chr3','chr15','chr21','chr1','chr7','chr12','chr9','chr8','chr16','chr14','chr6','chr10','chr13','chr5','chr17','chr20','chr2','chrX','chr4','chr19','chr22','chrY']
JAV_NB_CHC_RALT_20000_ht|RP_NUM|CHR_ALL	NB	11901	29	9	447673	50	24	454893	50	25	47100	72	35	239716	7	1	1327213	11	5	1336112	11	5	101029	13	6	239716	7	1	1332637	11	5	1330688	11	5	101029	13	6	628976	7	1	536366	8	1	534159	8	1	90310	8	1	1120309	7	1	3643889	11	5	3655852	11	5	339468	12	6	['chr20','chr1','chr7','chrX','chr11','chr3','chr22','chr12','chr8','chr10','chr18','chr6','chr13','chr4','chr2','chr5','chr16','chr9','chr17','chr15','chr19','chr14','chr21','chrY']
JAV_TB_CHC_RALT_20000_ht|RP_NUM|CHR_ALL	TB	24966	18	7	528362	49	25	537294	50	26	58441	71	37	62577	7	1	1550920	11	4	1561413	11	4	130596	12	5	62577	7	1	1557238	11	4	1555095	11	4	130596	12	5	46909	6	0	498152	7	1	496431	7	1	102680	7	1	197029	7	1	4134672	11	5	4150233	11	5	422313	11	5	['chr10','chr2','chr6','chr11','chr22','chr17','chr1','chr9','chr14','chrX','chr20','chr12','chr3','chr4','chr13','chr5','chr19','chr7','chr16','chr21','chr18','chr8','chr15','chrY']
