DESCRIPTION	DESCRIPTION_SHORT	DIX|NN|N	DIX|NN|MED	DIX|NN|MAD	DIX|NE|N	DIX|NE|MED	DIX|NE|MAD	DIX|EN|N	DIX|EN|MED	DIX|EN|MAD	DIX|EE|N	DIX|EE|MED	DIX|EE|MAD	DI|NN|N	DI|NN|MED	DI|NN|MAD	DI|NE|N	DI|NE|MED	DI|NE|MAD	DI|EN|N	DI|EN|MED	DI|EN|MAD	DI|EE|N	DI|EE|MED	DI|EE|MAD	UIR|NN|N	UIR|NN|MED	UIR|NN|MAD	UIR|NE|N	UIR|NE|MED	UIR|NE|MAD	UIR|EN|N	UIR|EN|MED	UIR|EN|MAD	UIR|EE|N	UIR|EE|MED	UIR|EE|MAD	UI|NN|N	UI|NN|MED	UI|NN|MAD	UI|NE|N	UI|NE|MED	UI|NE|MAD	UI|EN|N	UI|EN|MED	UI|EN|MAD	UI|EE|N	UI|EE|MED	UI|EE|MAD	ALL|NN|N	ALL|NN|MED	ALL|NN|MAD	ALL|NE|N	ALL|NE|MED	ALL|NE|MAD	ALL|EN|N	ALL|EN|MED	ALL|EN|MAD	ALL|EE|N	ALL|EE|MED	ALL|EE|MAD	CHROMS
JAV_MK_CHC_REPC_RP_TOTAL|I_DIST|CHR_ALL	MK	12802	91619	60104	297132	99758	60132	302462	99830	60100	34977	120034	72015	52807	65769	42417	1112313	313431	183790	1114153	313314	183631	73154	392534	227412	52807	33701	11506	1116042	467382	259922	1110424	468768	260280	73154	537760	300794	149017	33552	11180	494397	754787	344060	492901	755395	340634	70462	1007993	488050	267433	37453	15011	3019884	394241	249124	3019940	394206	249190	251747	511684	338497	['chr3','chr11','chr15','chr1','chr10','chr6','chr7','chr9','chr22','chr18','chr17','chr20','chr12','chr2','chr5','chr16','chr4','chrX','chr13','chr14','chr8','chr19','chr21','chrY']
JAV_ERY_CHC_REPC_RP_TOTAL|I_DIST|CHR_ALL	ERY	9969	93937	60742	271713	97965	58671	277384	98690	58987	36488	127147	76182	53024	55372	32578	1123163	305154	176149	1126695	305911	176709	75732	397248	221697	53024	32049	9753	1125533	450994	243172	1124325	453211	243484	75732	535122	285624	207666	33413	10690	454616	713856	303956	454566	718204	302940	63677	969713	422653	323683	35334	12668	2975025	381791	234660	2982970	382890	235568	251629	498118	317732	['chr1','chr17','chr6','chr15','chr16','chr19','chr7','chr14','chr4','chr12','chr10','chr8','chr2','chr21','chr3','chr5','chr22','chr18','chrX','chr11','chr20','chr9','chr13']
JAV_NEU_CHC_REPC_RP_TOTAL|I_DIST|CHR_ALL	NEU	8733	80055	49381	113183	63141	33091	116046	63722	33546	20128	90876	53068	8768	121854	89008	826339	245885	162110	827549	245735	162085	75035	401793	271233	8768	39927	17632	826793	389502	256534	827095	389875	256107	75035	583287	400732	1402	34722	12444	585219	689586	401084	586187	690689	403737	117849	1378171	894637	27671	68677	43885	2351534	363972	253820	2356877	363033	253152	288047	701404	529098	['chr2','chr20','chr10','chr7','chr12','chr22','chr19','chr5','chr6','chr1','chr17','chrX','chr4','chr3','chr9','chr11','chr16','chr21','chr18','chr15','chr8','chr14','chr13','chrY']
JAV_MON_CHC_REPC_RP_TOTAL|I_DIST|CHR_ALL	MON	8781	82051	50940	134157	70770	39152	138466	71703	39735	24094	101359	59728	14805	102057	73746	820076	241065	152496	823479	242243	153706	70739	377045	237966	14805	39007	15998	822638	367721	227369	820917	370212	227197	70739	529271	334238	13425	38286	15280	452538	606264	317226	453822	607632	318680	82260	1079900	617070	51816	53086	28980	2229409	328111	217834	2236684	329140	218432	247832	549590	388952	['chr3','chr17','chr2','chr5','chr18','chr7','chr4','chr1','chrX','chr16','chr8','chr9','chr13','chr6','chr10','chr14','chr11','chr19','chr12','chr15','chr20','chr21','chr22','chrY']
JAV_MAC_M0_CHC_REPC_RP_TOTAL|I_DIST|CHR_ALL	MAC_M0	11255	81377	50872	330026	103077	61818	335426	103004	61667	38146	124338	73351	74902	55588	32008	1140508	327435	193976	1143934	327581	194382	75034	412586	236791	74902	35064	12438	1149254	500267	286958	1135188	500934	286517	75034	573194	325216	275550	36318	13288	513059	839856	409563	508067	840822	412041	74426	1135498	594009	436609	38417	15390	3132847	414219	269055	3122615	412819	268701	262640	540808	366465	['chr1','chr12','chr2','chr15','chr3','chr20','chr5','chr11','chr6','chr8','chr14','chr18','chr9','chr4','chr19','chr21','chr16','chr17','chr10','chr13','chrX','chr7','chr22','chrY']
JAV_MAC_M1_CHC_REPC_RP_TOTAL|I_DIST|CHR_ALL	MAC_M1	11938	74734	45939	268023	92757	54130	271164	92675	54013	27175	102402	58181	91265	45617	22474	939724	269964	157056	943247	269634	157327	56870	300168	167938	91265	34131	11503	946570	402710	224814	936401	403363	224245	56870	409106	223116	283483	35664	12514	392926	656010	304024	389389	655337	305456	51018	744634	354375	477951	37039	13986	2547243	335542	211737	2540201	334285	211121	191933	381110	244147	['chr1','chr16','chr10','chr6','chr3','chr21','chr11','chr2','chr13','chr12','chr4','chr8','chr9','chr18','chr14','chr5','chr17','chr7','chr20','chr15','chrX','chr22','chr19','chrY']
JAV_MAC_M2_CHC_REPC_RP_TOTAL|I_DIST|CHR_ALL	MAC_M2	10831	73418	44989	295758	97478	57892	300055	97667	57809	30055	109160	63551	80725	47673	24474	977714	287530	169720	982867	288471	170737	57551	314911	176511	80725	34260	11704	984434	434657	246378	976147	435750	246505	57551	432571	239072	260992	35440	12444	392677	699910	336622	389105	703796	339346	47526	766756	372710	433273	37074	14124	2650583	354650	227456	2648174	354172	227594	192683	386100	249350	['chr16','chr13','chr11','chr10','chr2','chr8','chr1','chr14','chr15','chr18','chr9','chr3','chr7','chrX','chr5','chr4','chr6','chr12','chr20','chr17','chr21','chr22','chr19','chrY']
JAV_EP_CHC_REPC_RP_TOTAL|I_DIST|CHR_ALL	EP	10723	82059	52182	211240	85328	49596	215097	85070	49203	21467	91244	51898	50248	56474	33639	906318	251957	149183	910271	251273	148861	50569	250849	139969	50248	31396	9276	912896	387023	219142	903693	386470	216686	50569	351637	187763	187251	32446	9923	379880	610451	286876	374588	608933	284784	41691	602581	269233	298470	34556	12090	2410334	323831	204603	2403649	322009	203226	164296	322502	200197	['chr17','chr5','chr12','chr8','chr11','chr14','chr18','chr1','chr4','chr3','chr7','chr2','chr10','chr15','chr20','chr13','chr19','chrX','chr22','chr6','chr9','chr16','chr21','chrY']
JAV_NB_CHC_REPC_RP_TOTAL|I_DIST|CHR_ALL	NB	8576	74786	45766	250510	90612	54442	256198	90916	54622	31011	119397	73535	75474	40727	18420	977015	298643	186397	986663	300881	188046	73152	412508	259772	75474	31272	9104	982071	449184	272451	981607	450752	271741	73152	571980	354076	276395	31913	9445	459459	749862	390513	459412	757418	394920	73479	1131801	656503	435919	33033	10624	2669055	380670	254655	2683880	381697	255219	250794	553490	390650	['chr5','chr1','chr11','chr18','chr3','chr2','chr14','chr17','chr4','chr7','chr19','chr15','chr6','chr9','chr22','chr10','chrX','chr20','chr8','chr12','chr21','chr13','chr16','chrY']
JAV_TB_CHC_REPC_RP_TOTAL|I_DIST|CHR_ALL	TB	18200	111387	78456	300677	101076	62515	306944	101626	62758	38593	138313	87850	23037	133796	106795	1091055	339771	214743	1101501	342723	216717	87114	527036	346289	23037	36978	14637	1095946	517366	318566	1096610	519182	319558	87114	721304	473360	14584	36072	13628	504726	873926	469082	506138	882522	471478	92331	1544593	1000764	78858	60183	36873	2992404	430953	293523	3011193	432748	294906	305152	710042	526946	['chr9','chr4','chr15','chr18','chr7','chr22','chr8','chr1','chr6','chr5','chr2','chr13','chr17','chr19','chr14','chrX','chr10','chr11','chr3','chr12','chr16','chr20','chr21','chrY']
