DESCRIPTION	DESCRIPTION_SHORT	DI|NN|N	DI|NN|MED	DI|NN|MAD	DI|NE|N	DI|NE|MED	DI|NE|MAD	DI|EN|N	DI|EN|MED	DI|EN|MAD	DI|EE|N	DI|EE|MED	DI|EE|MAD	DI_S|NN|N	DI_S|NN|MED	DI_S|NN|MAD	DI_S|NE|N	DI_S|NE|MED	DI_S|NE|MAD	DI_S|EN|N	DI_S|EN|MED	DI_S|EN|MAD	DI_S|EE|N	DI_S|EE|MED	DI_S|EE|MAD	DI_T|NN|N	DI_T|NN|MED	DI_T|NN|MAD	DI_T|NE|N	DI_T|NE|MED	DI_T|NE|MAD	DI_T|EN|N	DI_T|EN|MED	DI_T|EN|MAD	DI_T|EE|N	DI_T|EE|MED	DI_T|EE|MAD	UIR|NN|N	UIR|NN|MED	UIR|NN|MAD	UIR|NE|N	UIR|NE|MED	UIR|NE|MAD	UIR|EN|N	UIR|EN|MED	UIR|EN|MAD	UIR|EE|N	UIR|EE|MED	UIR|EE|MAD	UI|NN|N	UI|NN|MED	UI|NN|MAD	UI|NE|N	UI|NE|MED	UI|NE|MAD	UI|EN|N	UI|EN|MED	UI|EN|MAD	UI|EE|N	UI|EE|MED	UI|EE|MAD	ALL|NN|N	ALL|NN|MED	ALL|NN|MAD	ALL|NE|N	ALL|NE|MED	ALL|NE|MAD	ALL|EN|N	ALL|EN|MED	ALL|EN|MAD	ALL|EE|N	ALL|EE|MED	ALL|EE|MAD	CHROMS
MK|I_DIST|CHR_ALL	MK	2660	80880	74421	97612	113472	108620	100435	109749	104912	9400	117334	112858	1272	79222	72397	49369	111085	107205	50938	107054	103340	4288	107108	105402	1388	82482	76094	48243	115658	109917	49497	112310	106446	5112	126480	119024	2614	61250	54706	98596	188594	191114	99306	187899	189339	9212	167939	166004	116244	39804	26057	2263147	348191	312474	2260187	348348	312064	190094	454380	412070	121518	40686	27278	2459355	329123	305024	2459928	328678	304536	208706	418253	398808	['chr9','chr7','chr14','chr10','chr20','chr4','chr5','chr1','chr8','chr6','chr11','chr3','chr17','chr2','chr12','chr19','chrX','chr18','chr15','chr13','chr21','chr16','chr22','chrY']
ERY|I_DIST|CHR_ALL	ERY	2337	80275	75955	90564	115120	110089	93450	112102	107156	9437	129492	124429	1123	75551	70539	45718	113700	109557	47133	109925	105687	4300	118930	117723	1214	84660	80652	44846	116565	110518	46317	114069	108574	5137	138116	129232	2322	50217	39348	91622	198134	198367	92341	198483	197837	9356	184756	181120	134238	34958	18892	2255310	338138	296997	2258912	339372	297688	192868	447968	394768	138897	35422	19555	2437496	321972	291513	2444703	322614	292071	211661	414757	384434	['chr2','chr20','chrX','chr4','chr10','chr1','chr22','chr9','chr3','chr7','chr12','chr11','chr5','chr15','chr19','chr18','chr8','chr6','chr17','chr21','chr14','chr16','chr13']
NEU|I_DIST|CHR_ALL	NEU	702	56506	44371	39322	87224	80778	40494	84722	78210	4332	105663	103786	332	58928	48206	19778	85674	79403	20672	83948	77235	1934	97378	95794	370	54719	42042	19544	88636	82136	19822	85704	79357	2398	112163	109693	694	70960	60561	39713	164467	169267	40091	164073	168004	4314	172163	179277	14705	80265	78231	1697924	285856	282567	1702517	285481	281479	209590	522444	546303	16101	78697	75675	1776959	276553	276552	1783102	276012	275561	218236	501016	532304	['chr11','chr7','chr3','chr6','chr8','chr9','chr2','chr19','chr16','chr1','chr4','chr10','chr17','chr14','chr20','chr12','chr5','chr15','chr22','chrX','chr13','chr21','chr18','chrY']
MON|I_DIST|CHR_ALL	MON	909	70808	60327	44525	90311	82808	46336	87046	79801	5776	108372	104905	424	74436	63107	22360	88682	81571	23773	84791	77691	2493	102238	98983	485	68866	59230	22165	92305	84369	22563	89379	81751	3283	113828	109444	897	70467	64548	45138	160584	163301	45686	163527	164984	5728	172112	179269	25319	63058	56472	1669114	275144	262168	1675591	276626	263249	186125	452156	446082	27125	63523	56957	1758777	265387	256662	1767613	266606	257760	197629	427837	432833	['chr14','chr22','chr9','chr12','chr3','chr7','chr11','chr20','chr8','chr1','chr15','chr6','chr4','chr17','chr2','chr16','chr13','chr5','chr10','chr19','chr21','chr18','chrX','chrY']
MAM0|I_DIST|CHR_ALL	MAM0	3026	77550	72022	106848	113550	107529	110208	110194	104420	10412	114736	109117	1497	72619	65870	54046	111546	106523	55611	108005	103106	4706	104570	101198	1529	81487	76502	52802	115595	108348	54597	112178	105592	5706	123560	116084	2962	52810	42393	108126	193081	194594	108792	194191	195336	10234	168616	165356	203203	37827	22593	2340852	365519	334943	2332849	365334	334480	196991	481373	442733	209191	38275	23197	2555826	343084	324563	2551849	342283	324073	217637	438661	425614	['chr1','chr5','chr11','chr9','chr10','chr2','chr15','chr4','chr8','chr12','chr16','chr21','chr7','chr22','chr17','chr6','chr3','chr13','chrX','chr14','chr18','chr19','chr20','chrY']
MAM1|I_DIST|CHR_ALL	MAM1	3130	68856	61512	90700	105567	97755	93315	101494	93600	7190	99137	91462	1534	64484	56516	46041	103591	96858	46988	99938	92643	3602	92902	85018	1596	74720	68429	44659	107731	98630	46327	102810	94342	3588	107618	98812	3091	47217	35692	92145	174495	170594	91789	172077	167426	7117	149278	142346	211337	35648	19453	1918768	300452	269357	1914433	300461	268930	148042	346868	308653	217558	35971	19899	2101613	283362	261416	2099537	282686	261044	162349	321789	298034	['chr15','chr3','chr4','chr5','chr14','chr2','chr13','chr11','chr7','chr9','chr1','chr8','chr17','chr18','chr21','chr10','chrX','chr6','chr16','chr12','chr19','chr22','chr20','chrY']
MAM2|I_DIST|CHR_ALL	MAM2	2868	66392	58042	94346	106644	99694	96411	102692	96161	7680	104485	96629	1429	64526	56459	47835	104550	98075	49105	100800	94529	3533	94420	88473	1439	68381	60097	46511	108807	101226	47306	104788	98005	4147	111907	101576	2838	46511	34611	95489	179101	178330	95176	177858	175668	7589	150098	143006	190105	36027	20187	1992430	317476	289338	1990711	317663	289101	148288	355648	319271	195811	36339	20626	2182265	298716	280360	2182298	298228	279999	163557	328003	307088	['chr8','chr5','chr7','chr6','chr19','chr10','chrX','chr16','chr9','chr2','chr21','chr12','chr1','chr13','chr15','chr11','chr3','chr14','chr4','chr17','chr18','chr22','chr20','chrY']
EP|I_DIST|CHR_ALL	EP	2066	72793	65889	70295	97365	90207	72748	93303	85985	5536	90939	82143	1030	71957	64932	35633	95533	89055	37026	91994	85079	2825	81851	73169	1036	74716	67905	34662	99461	91437	35722	94753	86857	2711	101184	89546	2036	54703	45871	71360	171948	169678	71629	172885	168604	5480	140456	133397	125083	34504	18540	1851202	289220	261964	1845047	288103	260294	130006	296751	259239	129185	34961	19188	1992857	275733	255740	1989424	274171	254052	141022	278456	252589	['chr6','chr3','chr2','chr13','chr7','chr20','chr8','chr4','chrX','chr1','chr15','chr9','chr14','chr11','chr10','chr12','chr17','chr18','chr19','chr22','chr5','chr16','chr21','chrY']
NB|I_DIST|CHR_ALL	NB	2558	70058	63615	86142	106947	103179	89105	104480	100765	8616	124250	122912	1273	67028	60228	43536	104883	101815	45264	102686	99597	3957	111015	111435	1285	71584	65251	42606	109044	104451	43841	106289	101786	4659	135097	130479	2511	45756	33191	87236	176856	181243	87930	177622	182662	8504	183957	188520	185192	32000	14888	1948810	327174	311155	1960266	329310	312222	185652	474218	463563	190261	32275	15284	2122188	308333	300858	2137301	309701	301731	202772	437754	442996	['chr2','chr4','chr1','chr22','chr7','chr5','chr3','chr16','chr14','chr12','chr9','chr21','chr6','chr8','chr20','chr19','chrX','chr11','chr15','chr18','chr17','chr13','chr10','chrY']
TB|I_DIST|CHR_ALL	TB	2411	86110	80106	100711	116927	115105	104425	113658	112442	10709	141347	144530	1188	80320	72143	50802	114853	113686	53066	111680	110890	4795	130909	137037	1223	91842	87745	49909	119065	116353	51359	115815	114142	5914	150118	150812	2356	85336	83203	102352	191932	201022	102664	190515	198749	10557	202447	216156	38414	78645	80094	2164744	369019	356020	2178587	371468	357692	221903	596187	609599	43181	79602	80822	2367807	345603	342598	2385676	347407	344076	243169	545301	576094	['chr10','chr6','chr11','chr13','chr4','chrX','chr15','chr17','chr7','chr14','chr1','chr2','chr19','chr8','chr12','chr16','chr5','chr3','chr22','chr18','chr20','chr9','chr21','chrY']
