DESCRIPTION	DESCRIPTION_SHORT	DIX|NN|N	DIX|NN|MED	DIX|NN|MAD	DIX|NE|N	DIX|NE|MED	DIX|NE|MAD	DIX|EN|N	DIX|EN|MED	DIX|EN|MAD	DIX|EE|N	DIX|EE|MED	DIX|EE|MAD	DI|NN|N	DI|NN|MED	DI|NN|MAD	DI|NE|N	DI|NE|MED	DI|NE|MAD	DI|EN|N	DI|EN|MED	DI|EN|MAD	DI|EE|N	DI|EE|MED	DI|EE|MAD	UIR|NN|N	UIR|NN|MED	UIR|NN|MAD	UIR|NE|N	UIR|NE|MED	UIR|NE|MAD	UIR|EN|N	UIR|EN|MED	UIR|EN|MAD	UIR|EE|N	UIR|EE|MED	UIR|EE|MAD	UI|NN|N	UI|NN|MED	UI|NN|MAD	UI|NE|N	UI|NE|MED	UI|NE|MAD	UI|EN|N	UI|EN|MED	UI|EN|MAD	UI|EE|N	UI|EE|MED	UI|EE|MAD	ALL|NN|N	ALL|NN|MED	ALL|NN|MAD	ALL|NE|N	ALL|NE|MED	ALL|NE|MAD	ALL|EN|N	ALL|EN|MED	ALL|EN|MAD	ALL|EE|N	ALL|EE|MED	ALL|EE|MAD	CHROMS
JAV_MK_CHC_REPC_RP_MAX|I_DIST|CHR_ALL	MK	26168	92048	63821	557703	134878	84707	564417	134927	84610	49519	144457	88290	39441	59097	36035	851742	362458	201278	852198	362628	201699	58612	450666	249846	39441	34745	12545	853455	387519	213695	850485	389439	213261	58612	457060	248329	162383	33335	10981	756984	769036	345216	752840	771821	343262	85004	1010444	488276	267433	37453	15011	3019884	394241	249124	3019940	394206	249190	251747	511684	338497	['chr3','chr11','chr15','chr1','chr10','chr6','chr7','chr9','chr22','chr18','chr17','chr20','chr12','chr2','chr5','chr16','chr4','chrX','chr13','chr14','chr8','chr19','chr21','chrY']
JAV_ERY_CHC_REPC_RP_MAX|I_DIST|CHR_ALL	ERY	22360	91761	64214	540158	134491	83974	548280	135120	84365	51838	151140	92264	40633	49324	26642	854718	354303	191997	855799	354935	193018	60382	455028	240554	40633	32298	10073	855989	375083	201545	854528	376849	201143	60382	456345	238298	220057	33277	10569	724160	727135	304848	724363	731400	303629	79027	965221	419474	323683	35334	12668	2975025	381791	234660	2982970	382890	235568	251629	498118	317732	['chr1','chr17','chr6','chr15','chr16','chr19','chr7','chr14','chr4','chr12','chr10','chr8','chr2','chr21','chr3','chr5','chr22','chr18','chrX','chr11','chr20','chr9','chr13']
JAV_NEU_CHC_REPC_RP_MAX|I_DIST|CHR_ALL	NEU	12003	88654	57537	287977	92668	55874	292457	92861	55993	33951	121314	75459	5498	121626	90178	651545	297406	188336	651138	296874	188558	61212	488869	321792	5498	44998	22530	651639	305939	192954	651044	305670	191656	61212	469694	303479	4672	34292	12227	760373	737596	426143	762238	740093	428844	131672	1412348	918055	27671	68677	43885	2351534	363972	253820	2356877	363033	253152	288047	701404	529098	['chr2','chr20','chr10','chr7','chr12','chr22','chr19','chr5','chr6','chr1','chr17','chrX','chr4','chr3','chr9','chr11','chr16','chr21','chr18','chr15','chr8','chr14','chr13','chrY']
JAV_MON_CHC_REPC_RP_MAX|I_DIST|CHR_ALL	MON	13379	87991	57557	317933	101172	62163	324559	101240	62051	37961	128341	79739	10207	101109	73693	636300	284376	172214	637386	286725	173978	56872	444198	271148	10207	41465	18246	637316	298724	181148	636370	301050	180858	56872	437936	265258	18023	37315	14412	637860	632591	327122	638369	634583	328796	96127	1089751	622095	51816	53086	28980	2229409	328111	217834	2236684	329140	218432	247832	549590	388952	['chr3','chr17','chr2','chr5','chr18','chr7','chr4','chr1','chrX','chr16','chr8','chr9','chr13','chr6','chr10','chr14','chr11','chr19','chr12','chr15','chr20','chr21','chr22','chrY']
JAV_MAC_M0_CHC_REPC_RP_MAX|I_DIST|CHR_ALL	MAC_M0	27688	77944	51395	591434	137104	85814	598077	136974	85645	52286	145236	87666	58469	51962	28482	879100	378952	214472	881283	378418	214864	60894	476694	263236	58469	35531	12944	884724	414112	232494	875659	415749	231908	60894	488978	265523	291983	36138	13128	777589	858243	414760	767596	861064	416898	88566	1139131	592188	436609	38417	15390	3132847	414219	269055	3122615	412819	268701	262640	540808	366465	['chr1','chr12','chr2','chr15','chr3','chr20','chr5','chr11','chr6','chr8','chr14','chr18','chr9','chr4','chr19','chr21','chr16','chr17','chr10','chr13','chrX','chr7','chr22','chrY']
JAV_MAC_M1_CHC_REPC_RP_MAX|I_DIST|CHR_ALL	MAC_M1	32353	62726	38328	490301	120968	73873	494812	120451	73387	38309	119791	69741	70850	43584	20437	717446	310892	172228	719599	311198	172902	45736	341989	183672	70850	34070	11528	721098	335342	184926	715947	337077	184677	45736	351216	186214	303898	35575	12434	618398	664700	305423	609843	664813	306597	62152	745684	353857	477951	37039	13986	2547243	335542	211737	2540201	334285	211121	191933	381110	244147	['chr1','chr16','chr10','chr6','chr3','chr21','chr11','chr2','chr13','chr12','chr4','chr8','chr9','chr18','chr14','chr5','chr17','chr7','chr20','chr15','chrX','chr22','chr19','chrY']
JAV_MAC_M2_CHC_REPC_RP_MAX|I_DIST|CHR_ALL	MAC_M2	29109	65362	40368	531622	127379	78986	536197	127381	78788	41859	127603	76118	62447	45071	21926	741850	332295	187378	746725	333735	188598	45747	358643	192230	62447	34439	11925	747128	361816	202306	741447	362507	201338	45747	371646	199636	279270	35317	12343	629983	711158	338574	623805	717121	341663	59330	765681	371374	433273	37074	14124	2650583	354650	227456	2648174	354172	227594	192683	386100	249350	['chr16','chr13','chr11','chr10','chr2','chr8','chr1','chr14','chr15','chr18','chr9','chr3','chr7','chrX','chr5','chr4','chr6','chr12','chr20','chr17','chr21','chr22','chr19','chrY']
JAV_EP_CHC_REPC_RP_MAX|I_DIST|CHR_ALL	EP	22916	82170	55384	418900	113233	69356	423804	112462	68584	31407	106156	61324	38055	50719	28063	698658	290678	163840	701564	290836	164232	40629	285276	151470	38055	31851	9769	702736	323282	181017	697486	324614	179794	40629	303302	158906	199444	32299	9791	590040	627205	290784	580795	625148	288489	51631	602090	267863	298470	34556	12090	2410334	323831	204603	2403649	322009	203226	164296	322502	200197	['chr17','chr5','chr12','chr8','chr11','chr14','chr18','chr1','chr4','chr3','chr7','chr2','chr10','chr15','chr20','chr13','chr19','chrX','chr22','chr6','chr9','chr16','chr21','chrY']
JAV_NB_CHC_REPC_RP_MAX|I_DIST|CHR_ALL	NB	24301	62542	38728	489803	126904	81511	498739	127496	81968	45726	145938	92497	59749	38636	16300	737722	349600	209280	744122	352684	211702	58437	482413	294478	59749	31129	9050	741224	366153	219064	740620	368644	218420	58437	473414	282799	292120	31898	9429	700306	763740	393517	700399	769614	397167	88194	1144577	659722	435919	33033	10624	2669055	380670	254655	2683880	381697	255219	250794	553490	390650	['chr5','chr1','chr11','chr18','chr3','chr2','chr14','chr17','chr4','chr7','chr19','chr15','chr6','chr9','chr22','chr10','chrX','chr20','chr8','chr12','chr21','chr13','chr16','chrY']
JAV_TB_CHC_REPC_RP_MAX|I_DIST|CHR_ALL	TB	26062	118088	86458	571959	142298	93270	581695	142776	93684	55898	172758	113178	15175	129104	102828	819773	398582	242522	826750	402325	245476	69809	616754	399045	15175	40502	17899	822522	419788	254648	824001	422651	254802	69809	594147	372616	22446	34810	12502	778150	890477	473856	778747	899249	477369	109636	1554182	1000804	78858	60183	36873	2992404	430953	293523	3011193	432748	294906	305152	710042	526946	['chr9','chr4','chr15','chr18','chr7','chr22','chr8','chr1','chr6','chr5','chr2','chr13','chr17','chr19','chr14','chrX','chr10','chr11','chr3','chr12','chr16','chr20','chr21','chrY']
JAV_FOET_CHC_REPC_RP_MAX|I_DIST|CHR_ALL	FOET	22051	112711	83252	570798	158407	107528	577799	158115	106950	63171	212550	146646	21545	72351	49825	850229	416048	254711	850965	414790	254341	80328	783601	552264	21545	32307	10550	850169	416392	252220	851025	418300	251268	80328	645856	417158	81473	30255	8337	720753	836529	430129	721571	843611	430828	98982	1630422	1063092	146614	35837	13956	2991949	431198	288057	3001360	431363	288192	322809	760660	568521	['chr1','chr6','chr4','chr10','chr3','chr13','chr5','chr16','chr14','chr22','chr9','chr21','chr7','chr19','chr12','chr8','chrX','chr2','chr20','chr17','chr11','chr18','chr15']
JAV_NCD4_CHC_REPC_RP_MAX|I_DIST|CHR_ALL	NCD4	25996	72546	46807	587895	140831	91634	594569	140584	91464	62435	182541	120223	65926	48506	25662	923817	426767	260113	925178	425317	259431	82608	754002	509133	65926	34836	12451	926339	447785	271837	922656	446560	268748	82608	695360	450488	315849	34412	11761	960384	984738	534770	959196	990940	538230	148822	2057399	1426861	473697	36506	13859	3398435	476634	326986	3401599	474901	325960	376473	910080	703809	['chr1','chr17','chr8','chr5','chr6','chr7','chr10','chr11','chr14','chr3','chr15','chr2','chr4','chr9','chr12','chr13','chr20','chr19','chr18','chr16','chr21','chr22','chrX','chrY']
JAV_TCD4_CHC_REPC_RP_MAX|I_DIST|CHR_ALL	TCD4	26647	99139	71005	714221	158970	104541	721026	158759	104255	67701	191273	125479	25759	74393	51230	880599	450758	273178	882635	451230	273328	75927	736906	489461	25759	33569	11605	882677	475287	285830	880557	473589	283015	75927	711343	458924	83486	31752	9627	829506	1033798	567102	828011	1039571	570099	123179	2033553	1419460	161651	38593	16399	3307003	471671	324986	3312229	470235	324037	342734	830822	640922	['chr8','chr6','chr18','chr2','chr1','chr3','chr12','chr10','chr13','chr19','chr7','chr4','chr9','chr5','chr14','chr11','chr15','chr20','chrX','chr17','chr16','chr21','chr22','chrY']
JAV_NACD4_CHC_REPC_RP_MAX|I_DIST|CHR_ALL	NACD4	21336	88324	60629	555121	135569	87379	562876	135484	87112	59987	177242	116204	26191	60737	37881	785298	384888	234994	784925	383486	233335	73673	687476	460777	26191	34258	12138	787984	402421	244576	782239	399987	240136	73673	653555	423820	99783	32363	10141	748377	876593	473939	746426	878732	474593	120733	1804090	1229071	173501	37156	14833	2876780	414108	283810	2876466	411216	281110	328066	791104	605420	['chr6','chr16','chr9','chr8','chr14','chr7','chr3','chr2','chr11','chr18','chr5','chrX','chr1','chr17','chr13','chr12','chr22','chr19','chr4','chr15','chr10','chr20','chr21','chrY']
JAV_ACD4_CHC_REPC_RP_MAX|I_DIST|CHR_ALL	ACD4	20863	96282	67195	569874	135834	87306	576832	136288	87503	57824	170204	110481	19862	79176	55932	775843	387808	236953	776421	386760	235706	71276	669720	450477	19862	34060	11953	776744	409368	249098	775520	408563	245916	71276	641268	419730	65896	31764	9674	748529	909808	502456	746475	914982	505307	119788	1900964	1331190	126483	38766	16535	2870990	417384	288203	2875248	415392	286245	320164	787985	610760	['chr2','chr4','chr19','chr1','chr10','chr12','chr6','chr17','chr5','chr22','chr8','chrX','chr11','chr9','chr16','chr14','chr7','chr3','chr15','chr20','chr21','chr13','chr18','chrY']
JAV_NCD8_CHC_REPC_RP_MAX|I_DIST|CHR_ALL	NCD8	22050	95321	67146	633920	149602	97889	642780	149796	97846	67901	194606	128178	23817	71305	48084	821284	411842	247598	821396	411723	247566	75468	721220	470598	23817	35479	13000	822490	431898	258850	820190	431182	256485	75468	689289	437566	77976	33313	10897	749618	913406	483784	748945	920258	487373	118379	1893124	1273361	147660	39860	17260	3027312	431886	293276	3033311	431043	292577	337216	797820	603775	['chr1','chr7','chr5','chr8','chr21','chr18','chr12','chr3','chr2','chrX','chr14','chr15','chr17','chr10','chr4','chr13','chr11','chr6','chr22','chr20','chr9','chr19','chr16','chrY']
JAV_TCD8_CHC_REPC_RP_MAX|I_DIST|CHR_ALL	TCD8	19924	76096	49474	429196	113572	71378	437100	113973	71635	45094	143551	91892	30078	54372	31585	683560	320636	194172	685662	321664	194227	60535	524469	343848	30078	33578	11402	685204	334278	202244	684018	335776	200676	60535	497988	313440	114296	32177	9877	670592	720428	383322	670132	721680	384438	97966	1325345	869509	194376	35862	13488	2468552	354920	239688	2476912	354656	238838	264130	614409	458389	['chr22','chr1','chr5','chr7','chr15','chr11','chr6','chrX','chr16','chr12','chr4','chr17','chr19','chr8','chr3','chr9','chr14','chr10','chr21','chr2','chr18','chr13','chr20','chrY']
