DESCRIPTION	DESCRIPTION_SHORT	DIX|NN|N	DIX|NN|MED	DIX|NN|MAD	DIX|NE|N	DIX|NE|MED	DIX|NE|MAD	DIX|EN|N	DIX|EN|MED	DIX|EN|MAD	DIX|EE|N	DIX|EE|MED	DIX|EE|MAD	DI|NN|N	DI|NN|MED	DI|NN|MAD	DI|NE|N	DI|NE|MED	DI|NE|MAD	DI|EN|N	DI|EN|MED	DI|EN|MAD	DI|EE|N	DI|EE|MED	DI|EE|MAD	UIR|NN|N	UIR|NN|MED	UIR|NN|MAD	UIR|NE|N	UIR|NE|MED	UIR|NE|MAD	UIR|EN|N	UIR|EN|MED	UIR|EN|MAD	UIR|EE|N	UIR|EE|MED	UIR|EE|MAD	UI|NN|N	UI|NN|MED	UI|NN|MAD	UI|NE|N	UI|NE|MED	UI|NE|MAD	UI|EN|N	UI|EN|MED	UI|EN|MAD	UI|EE|N	UI|EE|MED	UI|EE|MAD	ALL|NN|N	ALL|NN|MED	ALL|NN|MAD	ALL|NE|N	ALL|NE|MED	ALL|NE|MAD	ALL|EN|N	ALL|EN|MED	ALL|EN|MAD	ALL|EE|N	ALL|EE|MED	ALL|EE|MAD	CHROMS
JAV_MK_CHC_RALT_20000_ht|I_DIST|CHR_ALL	MK	16586	85826	56834	524575	138536	87959	530559	138437	87760	51507	153146	94447	169804	47294	23981	1505131	445603	262416	1503635	445988	263392	101365	594370	360827	169804	36150	13260	1508647	646904	362425	1500119	648934	362249	101365	786094	459532	359156	37158	13952	443098	1040730	494146	441687	1039704	489250	73872	1472216	793378	715350	39068	15905	3981451	509778	329427	3976000	509849	330030	328109	691031	480128	['chr3','chr1','chr11','chr4','chr12','chr6','chr5','chr2','chrX','chr21','chr10','chr14','chr9','chr13','chr8','chr22','chr19','chr16','chr18','chr7','chr17','chr20','chr15','chrY']
JAV_ERY_CHC_RALT_20000_ht|I_DIST|CHR_ALL	ERY	12213	88999	59068	509085	140318	88921	516144	140938	89170	54888	162362	100008	190202	44266	20798	1485558	426664	244736	1487775	428239	246243	101065	581858	335400	190202	36716	13430	1488432	610303	326496	1484901	613446	326760	101065	757393	414252	495468	38141	14469	374094	957920	415325	372861	958676	410783	63112	1364289	664001	888085	39094	15527	3857169	482018	301166	3861681	483199	302223	320130	648364	432109	['chr21','chr6','chr20','chr1','chr7','chr2','chr17','chr18','chr8','chr3','chr14','chr5','chr4','chr10','chrX','chr11','chr13','chr12','chr16','chr9','chr15','chr19','chr22']
JAV_NEU_CHC_RALT_20000_ht|I_DIST|CHR_ALL	NEU	11146	82304	52274	247301	92398	55900	249459	93100	56418	34471	125931	78897	22209	99230	73794	1258992	407116	281305	1260426	406580	281929	120187	757455	559588	22209	35185	12751	1257990	637606	443492	1261428	640042	446294	120187	1094319	820586	11652	34042	11662	716231	1136430	717498	716965	1142728	722032	151636	2542666	1817062	67216	50231	27261	3480514	553240	408922	3488278	554686	410774	426481	1189536	967698	['chr14','chr1','chr12','chr6','chr19','chr10','chr16','chr20','chr3','chr9','chr4','chr2','chr8','chr11','chr22','chr15','chr5','chr13','chrX','chr18','chr7','chr17','chr21','chrY']
JAV_MON_CHC_RALT_20000_ht|I_DIST|CHR_ALL	MON	11792	80340	50982	277491	101992	63282	283164	101916	62992	38603	135411	84672	38092	69454	44599	1142553	355370	228996	1142541	356426	229896	102048	608595	412218	38092	38078	15074	1143386	529717	332228	1141708	531234	333088	102048	838694	565172	48356	37968	14846	488995	855669	460991	486038	860428	463366	98590	1695409	1077584	136332	45384	21841	3052425	442726	302891	3053451	443253	303641	341289	811096	608550	['chr5','chr13','chr12','chr15','chr2','chr17','chr1','chr11','chr6','chr7','chr3','chr16','chr8','chr4','chr22','chr10','chr20','chr19','chr21','chr9','chr18','chr14','chrX','chrY']
JAV_MAC_M0_CHC_RALT_20000_ht|I_DIST|CHR_ALL	MAC_M0	14701	76664	48491	556116	140291	88781	561099	139835	88202	54999	156001	95523	215641	48775	24647	1493382	460171	279170	1491985	460625	280171	99511	610204	374088	215641	39436	15827	1501032	691598	410442	1484335	692087	409311	99511	833034	504276	611660	40605	16609	583737	1141774	592215	574708	1145150	594383	90152	1678274	988552	1057643	41854	17924	4134267	543311	365614	4112127	541242	364912	344173	745672	536527	['chr2','chr3','chr6','chr9','chr12','chr10','chr7','chrX','chr4','chr1','chr11','chr18','chr5','chr16','chr8','chr14','chr19','chr15','chr20','chr13','chr22','chr17','chr21','chrY']
JAV_MAC_M1_CHC_RALT_20000_ht|I_DIST|CHR_ALL	MAC_M1	17234	66196	40643	467619	126404	78292	471982	125661	77527	40823	129696	76888	273917	45578	21347	1196720	369055	217323	1196345	368760	217627	72116	417508	242780	273917	39367	15609	1203222	538292	304982	1189843	539112	305264	72116	560682	317814	633831	40705	16433	421688	851582	411221	414350	852928	410966	56927	1023183	524187	1198899	41500	17369	3289249	424927	274929	3272520	423222	274476	241982	491942	329234	['chr15','chr6','chr10','chr7','chr22','chr12','chr11','chr19','chr14','chr20','chr5','chr3','chr21','chrX','chr4','chr2','chr17','chr18','chr8','chr9','chr1','chr16','chr13','chrY']
JAV_MAC_M2_CHC_RALT_20000_ht|I_DIST|CHR_ALL	MAC_M2	15442	67880	41656	503741	131128	82250	508598	131395	82303	44494	137844	83120	266293	44954	20986	1290522	401803	239363	1294533	403959	241834	75541	448979	260351	266293	38737	15168	1298426	591908	338884	1286629	593424	339448	75541	604161	344812	542776	40437	16288	326402	935892	465546	323353	948232	471134	46020	1056467	550148	1090804	41115	17163	3419091	448956	294534	3413113	448906	295561	241596	494009	331421	['chr3','chr17','chr18','chr9','chr8','chr6','chr7','chr14','chr1','chr20','chr4','chr11','chrX','chr19','chr13','chr22','chr2','chr5','chr12','chr10','chr15','chr16','chr21','chrY']
JAV_EP_CHC_RALT_20000_ht|I_DIST|CHR_ALL	EP	13297	79057	50906	394252	119037	74076	398614	118268	73276	33449	116292	68479	161406	44890	21376	1150290	341752	203029	1150713	341005	202647	62211	338300	191251	161406	36075	12949	1157980	509456	287782	1143023	507105	284412	62211	461326	249321	474358	36741	13276	377910	774364	367699	373682	770280	363166	43722	772530	361035	810467	38037	14636	3080432	402386	258312	3066032	399668	256484	201593	396522	253194	['chr11','chr18','chr3','chr15','chr21','chr1','chr7','chr12','chr9','chr8','chr16','chr14','chr6','chr10','chr13','chr5','chr17','chr20','chr2','chrX','chr4','chr19','chr22','chrY']
JAV_NB_CHC_RALT_20000_ht|I_DIST|CHR_ALL	NB	11901	69903	43998	447673	127719	82419	454893	128591	83067	47100	154698	99074	239716	40002	16759	1327213	435854	277837	1336112	438504	280295	101029	638618	428905	239716	35332	12230	1332637	642974	400396	1330688	645776	402059	101029	871514	580568	628976	35903	12522	536366	1040467	568774	534159	1043927	567886	90310	1758088	1141214	1120309	36643	13344	3643889	515670	355873	3655852	516521	356943	339468	794343	596430	['chr20','chr1','chr7','chrX','chr11','chr3','chr22','chr12','chr8','chr10','chr18','chr6','chr13','chr4','chr2','chr5','chr16','chr9','chr17','chr15','chr19','chr14','chr21','chrY']
JAV_TB_CHC_RALT_20000_ht|I_DIST|CHR_ALL	TB	24966	105882	75964	528362	143306	94617	537294	144756	95546	58441	183682	121818	62577	72333	48747	1550920	516028	334962	1561413	519715	338061	130596	904748	649376	62577	35787	13180	1557238	770942	490884	1555095	775149	492481	130596	1215977	872964	46909	36011	13238	498152	1316772	763104	496431	1317723	759730	102680	2697785	1963474	197029	45954	23037	4134672	596409	421688	4150233	598413	422960	422313	1082187	860356	['chr10','chr2','chr6','chr11','chr22','chr17','chr1','chr9','chr14','chrX','chr20','chr12','chr3','chr4','chr13','chr5','chr19','chr7','chr16','chr21','chr18','chr8','chr15','chrY']
